date,sales
2020-01-01,135.2810469193533
2020-01-02,109.22910877878917
2020-01-03,122.02643387055801
2020-01-04,148.49473775615076
2020-01-05,142.2524683577272
2020-01-06,86.57916635760894
2020-01-07,126.34863404480134
2020-01-08,105.54033570458445
2020-01-09,107.72193599901581
2020-01-10,119.21508230485823
2020-01-11,115.09849666882113
2020-01-12,142.51507047160436
2020-01-13,129.85954114020643
2020-01-14,118.27843442755344
2020-01-15,125.92505820634757
2020-01-16,124.92060335808921
2020-01-17,149.3242381983049
2020-01-18,116.53100203081489
2020-01-19,128.0827577315859
2020-01-20,105.92220756799011
2020-01-21,73.12228473608346
2020-01-22,138.42741089433812
2020-01-23,143.81148080208905
2020-01-24,112.84169638806978
2020-01-25,174.23661522772204
2020-01-26,100.90478672996474
2020-01-27,132.05166686852766
2020-01-28,128.530803785134
2020-01-29,164.0614083345948
2020-01-30,163.91747470973118
2020-01-31,138.74663013152622
2020-02-01,144.3209984978907
2020-02-02,120.10456313257023
2020-02-03,99.33912373298438
2020-02-04,133.08361399605883
2020-02-05,144.24745532448938
2020-02-06,166.7965122187513
2020-02-07,167.2999130588862
2020-02-08,136.55858569641003
2020-02-09,139.3028577530024
2020-02-10,125.41242788928574
2020-02-11,119.00828825794126
2020-02-12,114.29879285303832
2020-02-13,188.4454514033607
2020-02-14,140.23265408688087
2020-02-15,142.6497864847422
2020-02-16,127.33057688112673
2020-02-17,168.90095880312333
2020-02-18,122.02714077238271
2020-02-19,150.99334215954383
2020-02-20,138.27079938270302
2020-02-21,164.8389282876835
2020-02-22,147.79412359211565
2020-02-23,135.29536974899793
2020-02-24,159.230437239221
2020-02-25,169.23491456188967
2020-02-26,162.86079311735028
2020-02-27,168.4298870813052
2020-02-28,150.5316930199768
2020-02-29,156.78854267215874
2020-03-01,151.4067971774492
2020-03-02,158.46485952850009
2020-03-03,150.18006144280707
2020-03-04,132.69142208067166
2020-03-05,171.52658560184244
2020-03-06,160.69021699588984
2020-03-07,136.8563127419068
2020-03-08,179.436930364531
2020-03-09,152.74277974656871
2020-03-10,172.6214715469374
2020-03-11,186.84444894040476
2020-03-12,175.5085341716037
2020-03-13,196.36920292523683
2020-03-14,149.52297607435128
2020-03-15,182.8905376234659
2020-03-16,161.75754764878138
2020-03-17,158.63361097673067
2020-03-18,165.05405667856556
2020-03-19,170.96712280100508
2020-03-20,178.87417140846225
2020-03-21,154.98607099015078
2020-03-22,196.82926167257878
2020-03-23,188.63505881385186
2020-03-24,149.09138573201952
2020-03-25,210.06108585365794
2020-03-26,218.67890717581156
2020-03-27,204.7870663447072
2020-03-28,178.048573856969
2020-03-29,160.65283734902854
2020-03-30,203.56295062572107
2020-03-31,174.80159848829808
2020-04-01,207.69044752687816
2020-04-02,187.76863843034718
2020-04-03,203.48269750376815
2020-04-04,191.4092132661187
2020-04-05,198.73051775414055
2020-04-06,185.11143865280985
2020-04-07,220.90646538748948
2020-04-08,188.00017107543397
2020-04-09,193.7598740302106
2020-04-10,223.6265738180389
2020-04-11,159.23720344429236
2020-04-12,160.99690160188717
2020-04-13,205.99418952169043
2020-04-14,163.3289270092439
2020-04-15,225.83449792800053
2020-04-16,178.84597072322288
2020-04-17,172.31118919025985
2020-04-18,225.8467861734931
2020-04-19,217.11169725838428
2020-04-20,224.95190661096646
2020-04-21,205.80689554050818
2020-04-22,170.53279562280994
2020-04-23,226.01603442666502
2020-04-24,182.4983043070654
2020-04-25,203.9374416389889
2020-04-26,206.8497000839301
2020-04-27,184.8073142818148
2020-04-28,200.17857477471728
2020-04-29,206.3173191975084
2020-04-30,195.36473726014555
2020-05-01,165.79821336579136
2020-05-02,193.68807993227878
2020-05-03,214.17533327054701
2020-05-04,173.6678993259939
2020-05-05,184.46568362099944
2020-05-06,178.6420361620367
2020-05-07,224.20487120580958
2020-05-08,200.52788332387587
2020-05-09,195.08166758518587
2020-05-10,171.37275573991525
2020-05-11,197.3830671727272
2020-05-12,172.92695550857138
2020-05-13,186.85442742793217
2020-05-14,173.2939506643499
2020-05-15,199.32161209640503
2020-05-16,197.09602731290056
2020-05-17,181.1588674942556
2020-05-18,192.99515450169136
